Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444037/SRR8444037_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444038/SRR8444038_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444043/SRR8444043_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970629/SRR7970629_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970630/SRR7970630_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970631/SRR7970631_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970598/SRR7970598_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970599/SRR7970599_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970600/SRR7970600_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269830/SRR8269830_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269647/SRR8269647_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269650/SRR8269650_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916318/SRR10916318_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916319/SRR10916319_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916320/SRR10916320_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970603/SRR7970603_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970606/SRR7970606_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970610/SRR7970610_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027727/SRR9027727_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027728/SRR9027728_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027730/SRR9027730_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916163/SRR10916163_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916164/SRR10916164_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916165/SRR10916165_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-115_RNA_cac-1__Rep1_S139/149-115_RNA_cac-1__Rep1_S139_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-117_RNA_cac-1__Rep3_S141/149-117_RNA_cac-1__Rep3_S141_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-65_RNA_cac-1_cac-2___S65/149-65_RNA_cac-1_cac-2___S65_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-66_RNA_cac-1_cac-2___S66/149-66_RNA_cac-1_cac-2___S66_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-67_RNA_cac-1_cac-2___S67/149-67_RNA_cac-1_cac-2___S67_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-96_RNA_cac-1-suz-12__Rep1_S96/149-96_RNA_cac-1-suz-12__Rep1_S96_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-97_RNA_cac-1-suz-12__Rep2_S121/149-97_RNA_cac-1-suz-12__Rep2_S121_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-98_RNA_cac-1-suz-12__Rep3_S122/149-98_RNA_cac-1-suz-12__Rep3_S122_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690267/SRR7690267_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690268/SRR7690268_Aligned.sortedByCoord.out.bam
NCU08053	CM002236.1	112544	112981	-	438	2502	2131	2292	2371	2040	1990	1958	2322	2421	715	861	1280	1035	1108	756	2374	2251	1667	1037	1332	1027	4193	5418	5232	4107	802	886	1331	360	1330	742	191	481	236	1011	1380	800	1463	1230	1645	303	305
gh3-2	CM002236.1	114128	117070	+	2943	3765	2525	3187	3279	2861	3027	3013	3580	3341	2497	2298	2899	1321	750	711	5389	5870	3747	2345	2674	1867	8294	10095	10124	8100	1115	1096	1686	452	1686	1454	997	2614	1027	2656	2497	1942	4187	2647	4116	325	432
NCU08055	CM002236.1	118357	119016	+	660	13186	8060	14203	9638	8593	8388	6297	7162	7401	8578	8799	12370	11047	4746	3930	20934	26324	14746	8659	10758	6065	62754	75693	75511	62427	5162	6754	11746	2652	8982	5735	1339	3791	1685	4886	6282	3334	13471	10941	29552	4187	2567
NCU08056	CM002236.1;CM002236.1	123179;127928	127863;128081	+;+	4839	829	812	703	1289	1010	967	765	1141	852	285	297	333	287	131	106	1112	1332	814	379	367	315	1056	1262	1194	989	294	233	355	68	384	234	105	228	134	350	528	279	873	331	806	518	408
NCU08057	CM002236.1;CM002236.1	128735;129025	128949;129709	+;+	900	1025	524	838	1732	1444	1237	4094	4606	4640	496	438	564	321	89	110	2412	2583	1700	2360	2471	1544	3572	4340	4162	3497	370	282	419	464	1436	1308	1356	2846	1675	2364	3515	1808	1695	932	1235	49	38
NCU08058	CM002236.1;CM002236.1	130428;131787	131718;132364	-;-	1869	139	238	141	237	195	180	99	158	115	86	87	83	56	62	31	93	86	67	75	63	62	106	118	117	92	66	40	79	36	139	86	81	137	97	106	159	100	35	39	45	15	9
NCU08059	CM002236.1;CM002236.1;CM002236.1;CM002236.1	133836;134021;134222;134388	133961;134042;134290;134464	+;+;+;+	294	0	2	0	0	1	0	0	0	0	0	2	1	0	0	0	3	0	1	0	0	0	1	2	4	3	0	0	0	0	0	0	0	2	2	2	4	0	0	1	0	0	0
NCU08060	CM002236.1;CM002236.1;CM002236.1	135264;136577;136795	136505;136737;136873	-;-;-	1482	218	205	207	170	162	146	102	119	94	30	39	42	85	31	31	197	195	158	103	101	96	312	410	342	294	88	116	124	22	77	80	12	33	11	41	67	36	177	129	154	14	11
NCU08062	CM002236.1;CM002236.1	138003;138191	138135;139722	+;+	1665	240	234	228	173	136	142	108	176	125	55	49	47	128	69	73	208	277	115	74	69	62	386	442	431	423	110	98	144	26	75	62	22	60	34	74	76	28	150	139	168	18	11
NCU08063	CM002236.1;CM002236.1;CM002236.1;CM002236.1	140468;141471;141779;142951	141404;141714;142860;143510	-;-;-;-	2823	1839	1473	1841	1676	1327	1560	1321	1829	1443	1132	1196	1588	698	426	373	1864	1897	1234	700	760	720	3772	4334	4294	3570	452	425	589	182	664	443	206	400	234	453	613	362	1198	736	1179	142	168
NCU08064	CM002236.1	144786	148886	-	4101	4107	2324	3824	3476	2960	3347	4050	4864	4718	3005	2821	3548	986	430	576	5668	5993	4067	2864	2642	2210	7142	10150	10162	7391	698	729	801	282	868	651	775	1842	772	798	1002	661	4188	2389	2346	115	209
NCU08065	CM002236.1;CM002236.1	149980;151488	151410;151799	-;-	1743	806	736	745	705	709	601	656	810	769	348	305	382	226	195	190	710	829	599	407	514	412	1088	1255	1132	1004	176	191	211	90	276	242	98	199	123	160	247	190	548	362	465	90	87
NCU08066	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	152730;153532;153745;154387;154536	153481;153691;154328;154466;154609	-;-;-;-;-	1650	6191	5360	5081	5392	5038	4549	4696	5826	5745	2312	2243	2771	2450	2171	1728	5272	4837	3820	2350	3137	2482	7089	7932	7929	6845	2443	1990	2412	399	1636	963	466	1183	522	1236	1314	868	2910	2403	2922	454	460
ro-10	CM002236.1;CM002236.1	155789;156082	156011;156512	+;+	654	578	473	489	483	435	470	670	810	823	225	266	341	216	141	151	435	526	356	239	253	228	969	1241	1341	932	187	173	147	100	264	186	74	266	112	405	432	260	339	217	351	43	51
NCU08067	CM002236.1;CM002236.1;CM002236.1	159279;159507;159877	159428;159815;160386	+;+;+	969	2744	2637	2740	2343	2141	2105	1788	2067	2043	1884	1807	2487	1104	801	851	2279	2354	1732	1007	1215	902	4252	5091	5093	4185	929	882	852	271	760	631	247	671	335	838	975	680	1466	1280	1646	268	289
NCU08068	CM002236.1	162590	163174	+	585	261	337	309	246	252	261	241	316	293	111	172	216	125	51	56	240	261	191	117	125	104	568	898	910	616	74	72	85	60	181	156	58	144	63	99	132	78	191	123	206	56	71
NCU08069	CM002236.1;CM002236.1	163963;164155	164007;165843	+;+	1734	308	489	293	192	199	206	170	266	259	275	243	345	93	73	68	198	267	135	180	219	139	573	673	678	568	118	56	118	109	460	305	141	284	102	241	276	168	162	152	170	47	50
NCU08070	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	171263;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;172864	-;-;-;-;-;-;-	711	3620	2382	3430	2896	2472	2896	1810	2284	2160	2742	2772	3634	2109	1401	1251	3629	4038	2668	1817	1775	1321	7595	8983	8585	7333	1261	1432	1688	873	2157	2596	1970	3885	2215	3051	3395	2597	2660	1520	3078	128	122
cyt-21	CM002236.1;CM002236.1;CM002236.1	173625;173775;174055	173701;173955;174120	+;+;+	324	1808	1701	1752	1930	1639	1570	2461	3009	2820	516	617	962	868	678	630	1444	1510	1140	721	977	745	3127	3683	3644	3223	559	648	647	190	664	422	111	253	158	401	498	291	937	795	1349	189	192
NCU08072	CM002236.1	175502	177526	-	2025	4710	3594	4191	3903	3559	3414	4227	5424	5081	2232	2083	2775	1669	1526	1176	4069	4359	3127	2325	2777	2204	6873	8150	8239	7122	1336	1127	1265	495	1700	1582	850	2115	914	1917	2027	1364	3009	2089	2475	450	422
NCU08073	CM002236.1	178614	180167	-	1554	93	125	91	151	115	140	262	268	213	33	23	36	29	9	10	26	31	17	31	30	20	55	81	47	58	8	11	22	30	102	54	38	85	43	628	722	462	36	12	39	21	18
NCU08074	CM002236.1	181223	181975	+	753	24	32	10	28	16	19	30	43	41	0	6	5	0	4	0	0	8	0	2	0	2	6	4	2	7	0	0	0	0	19	22	13	26	6	58	58	24	5	2	2	9	3
NCU08075	CM002236.1;CM002236.1;CM002236.1;CM002236.1	182428;184075;184564;184796	183921;184498;184735;185051	-;-;-;-	2346	23	17	12	18	8	20	22	27	18	12	10	4	4	2	0	0	2	4	6	2	6	8	4	8	4	12	0	2	12	32	16	4	30	20	34	34	26	0	8	8	1	1
NCU08076	CM002236.1	186244	187929	+	1686	563	380	569	679	619	596	401	398	479	132	107	121	247	101	118	1161	1403	730	512	490	382	1540	2151	2078	1583	374	306	398	47	160	152	42	87	38	85	144	47	1131	654	1120	12	52
NCU08077	CM002236.1	188531	189595	-	1065	87	273	88	81	64	84	88	129	83	4	4	0	0	0	2	4	7	2	0	0	2	2	0	4	13	6	3	2	126	593	430	242	491	158	515	554	299	12	6	14	1	1
NCU08078	CM002236.1;CM002236.1	190407;190588	190506;191138	+;+	651	40	106	33	38	55	48	80	161	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	96	318	262	144	425	138	419	336	196	2	4	2	2	0
NCU08079	CM002236.1;CM002236.1	193413;193803	193627;194004	-;-	417	2	3	6	4	14	0	2	4	2	0	0	1	0	0	0	2	1	1	0	1	0	0	5	0	0	2	2	2	4	4	4	11	25	0	14	21	23	3	0	0	0	0
NCU08080	CM002236.1	195021	195335	-	315	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	2	0	2	0	0	2	0	0
NCU16305	CM002236.1	195781	196290	-	510	2	5	1	2	0	4	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	4	6	6	6	7	14	8	4	1	0	0	0	0
NCU08081	CM002236.1	198195	198497	+	303	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	1	0	0	0
NCU08083	CM002236.1	208756	209217	-	462	2	2	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	6	6	6	6	0	9	4	18	27	22	0	0	7	0	0
NCU08084	CM002236.1;CM002236.1;CM002236.1;CM002236.1	210487;210925;211717;212108	210805;210945;212052;212487	+;+;+;+	1056	33	22	13	36	27	19	2	14	10	0	2	0	2	0	2	5	2	0	1	0	0	2	4	4	4	25	44	49	12	22	16	39	84	38	112	120	123	72	56	56	1	0
NCU08085	CM002236.1;CM002236.1;CM002236.1	214620;214824;215038	214770;214971;215734	+;+;+	996	102	150	49	109	90	89	112	127	150	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	32	62	38	0	2	2	19	50	29	45	86	56	97	65	99	4	1
NCU08086	CM002236.1	216105	216521	-	417	23	14	1	17	12	12	17	14	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	15	10	0	2	0	11	8	5	33	47	45	11	8	23	0	0
NCU08087	CM002236.1;CM002236.1	219849;220759	220697;220845	-;-	936	39	28	13	36	40	39	13	7	13	0	0	0	0	0	0	0	0	2	2	2	0	0	0	6	0	4	0	4	4	8	10	4	18	16	15	12	14	0	0	2	26	3
NCU08089	CM002236.1	224662	224874	+	213	36	55	30	80	73	45	9	15	8	16	20	27	15	22	21	19	19	17	20	19	5	19	31	38	18	17	14	34	0	18	15	6	37	16	13	23	23	21	24	33	1	3
NCU16306	CM002236.1	227270	227641	-	372	2015	2443	2324	1731	1744	1740	850	1106	979	1550	1925	2355	817	813	882	1512	1488	1190	923	1524	753	3110	3971	3963	3084	827	1001	1692	180	850	487	98	271	144	356	432	277	861	1080	1053	369	457
NCU08090	CM002236.1	228253	228621	-	369	1825	2236	1978	1561	1385	1379	627	832	777	1080	1257	1419	370	322	243	1340	1380	972	795	877	711	1646	1836	1839	1706	247	322	253	76	244	219	43	104	75	117	139	79	809	438	613	132	236
NCU10622	CM002236.1;CM002236.1	231816;232512	232411;232581	-;-	666	224	182	195	197	186	190	322	433	348	86	119	145	157	108	92	215	230	122	88	115	56	434	540	523	443	99	110	181	47	170	159	68	231	110	233	279	191	121	88	125	21	20
